age,job,marital,education,default,housing,loan,contact,duration,campaign,pdays,previous,poutcome,y
58,retired,single,professional.course,no,yes,no,cellular,1288.0,3,999.0,0,nonexistent,yes
48,blue-collar,married,professional.course,no,no,no,cellular,146.0,2,999.0,2,failure,no
26,blue-collar,married,basic.4y,no,yes,yes,telephone,144.0,2,999.0,0,nonexistent,no
36,admin.,married,university.degree,unknown,yes,no,cellular,352.0,3,999.0,0,nonexistent,no
53,technician,married,professional.course,no,yes,no,cellular,322.0,1,999.0,0,nonexistent,no
33,admin.,single,university.degree,no,unknown,unknown,cellular,123.0,1,999.0,0,nonexistent,no
33,technician,divorced,high.school,no,no,no,cellular,174.0,3,999.0,0,nonexistent,no
25,admin.,single,university.degree,no,no,no,cellular,114.0,1,999.0,0,nonexistent,no
57,retired,married,basic.4y,unknown,yes,no,telephone,,1,999.0,0,nonexistent,no
43,housemaid,married,basic.4y,no,no,no,cellular,90.0,6,999.0,0,nonexistent,no
50,blue-collar,single,basic.4y,no,yes,no,telephone,306.0,3,999.0,0,nonexistent,no
52,blue-collar,married,basic.6y,unknown,yes,no,cellular,108.0,2,999.0,0,nonexistent,no
49,unemployed,married,high.school,no,yes,no,cellular,119.0,4,999.0,0,nonexistent,no
38,blue-collar,married,high.school,unknown,no,no,telephone,113.0,5,999.0,0,nonexistent,no
51,services,married,unknown,no,no,yes,cellular,135.0,3,999.0,0,nonexistent,no
24,services,single,high.school,no,yes,no,telephone,117.0,1,999.0,0,nonexistent,no
39,blue-collar,married,basic.6y,unknown,yes,no,telephone,414.0,1,999.0,0,nonexistent,no
56,blue-collar,divorced,basic.9y,no,yes,yes,cellular,123.0,3,999.0,0,nonexistent,no
32,admin.,divorced,high.school,no,yes,no,cellular,134.0,1,,0,nonexistent,no
37,services,single,basic.9y,no,no,no,cellular,37.0,1,999.0,0,nonexistent,no
21,student,single,basic.9y,no,yes,no,cellular,136.0,2,999.0,1,failure,yes
35,technician,single,high.school,no,yes,no,telephone,92.0,2,999.0,0,nonexistent,no
31,admin.,single,university.degree,no,yes,no,telephone,659.0,4,999.0,0,nonexistent,no
31,management,married,university.degree,no,no,no,cellular,238.0,1,999.0,1,failure,no
53,retired,divorced,high.school,no,yes,no,telephone,111.0,3,999.0,0,nonexistent,no
35,admin.,single,university.degree,no,no,no,telephone,42.0,1,999.0,0,nonexistent,no
44,unemployed,divorced,high.school,unknown,yes,no,telephone,269.0,2,999.0,0,nonexistent,no
31,admin.,married,high.school,no,yes,no,cellular,197.0,1,999.0,0,nonexistent,no
51,technician,divorced,unknown,unknown,yes,no,cellular,102.0,1,999.0,0,nonexistent,no
32,entrepreneur,divorced,high.school,no,yes,no,cellular,318.0,3,999.0,0,nonexistent,no
33,self-employed,single,professional.course,no,yes,yes,telephone,193.0,1,999.0,1,failure,no
28,blue-collar,married,basic.9y,no,no,no,cellular,143.0,5,999.0,0,nonexistent,no
40,services,single,high.school,no,yes,no,cellular,208.0,6,999.0,1,failure,no
55,retired,married,basic.4y,no,yes,no,cellular,137.0,1,3.0,1,success,yes
29,blue-collar,divorced,basic.4y,no,yes,no,cellular,1223.0,3,999.0,1,failure,no
31,admin.,single,high.school,no,yes,no,cellular,85.0,4,999.0,0,nonexistent,no
27,student,,high.school,unknown,yes,no,telephone,38.0,9,999.0,0,nonexistent,no
44,management,,professional.course,no,no,no,cellular,65.0,1,999.0,1,failure,no
34,housemaid,married,high.school,unknown,yes,yes,cellular,17.0,4,999.0,1,failure,no
38,blue-collar,married,basic.4y,unknown,no,no,cellular,197.0,4,999.0,0,nonexistent,no
32,student,single,university.degree,no,no,no,telephone,21.0,3,999.0,0,nonexistent,no
32,technician,married,professional.course,no,yes,no,cellular,255.0,1,999.0,0,nonexistent,yes
50,blue-collar,married,basic.4y,unknown,no,no,telephone,18.0,16,999.0,0,nonexistent,no
46,admin.,married,basic.4y,no,no,no,telephone,247.0,2,999.0,0,nonexistent,no
31,technician,single,professional.course,no,no,no,telephone,174.0,3,999.0,0,nonexistent,no
56,housemaid,divorced,basic.4y,unknown,no,no,telephone,86.0,1,999.0,0,nonexistent,no
55,management,,university.degree,no,no,no,cellular,171.0,2,999.0,0,nonexistent,no
53,technician,married,professional.course,unknown,yes,no,telephone,153.0,1,999.0,0,nonexistent,no
48,blue-collar,married,basic.4y,no,yes,no,telephone,563.0,1,999.0,0,nonexistent,no
30,entrepreneur,single,university.degree,no,no,no,telephone,254.0,21,999.0,0,nonexistent,no
49,admin.,divorced,university.degree,unknown,no,no,cellular,150.0,1,999.0,0,nonexistent,no
50,management,single,university.degree,no,yes,no,cellular,600.0,2,999.0,1,failure,no
51,management,married,university.degree,no,yes,no,cellular,289.0,3,999.0,0,nonexistent,no
37,management,single,basic.9y,no,yes,no,cellular,189.0,1,999.0,0,nonexistent,no
35,admin.,married,university.degree,no,yes,no,cellular,211.0,2,999.0,1,failure,no
57,blue-collar,divorced,basic.9y,no,no,no,cellular,117.0,2,999.0,1,failure,no
40,blue-collar,married,basic.4y,no,yes,no,cellular,377.0,3,999.0,0,nonexistent,no
32,admin.,single,high.school,no,no,no,telephone,611.0,2,999.0,0,nonexistent,no
19,student,single,unknown,no,no,no,cellular,132.0,2,3.0,2,success,no
37,admin.,single,high.school,no,yes,no,telephone,912.0,1,999.0,0,nonexistent,yes
60,technician,married,professional.course,no,no,no,cellular,107.0,2,999.0,0,nonexistent,yes
31,blue-collar,single,high.school,no,yes,no,telephone,410.0,1,999.0,0,nonexistent,no
33,technician,married,professional.course,no,no,yes,cellular,383.0,3,999.0,1,failure,no
41,admin.,married,university.degree,unknown,yes,no,cellular,235.0,2,999.0,0,nonexistent,no
28,management,single,basic.9y,no,no,no,telephone,466.0,2,999.0,0,nonexistent,no
56,blue-collar,married,unknown,no,yes,no,cellular,178.0,8,,0,nonexistent,no
32,management,,university.degree,no,yes,no,cellular,129.0,2,999.0,0,nonexistent,no
41,management,married,university.degree,no,yes,no,cellular,789.0,1,999.0,0,nonexistent,no
33,blue-collar,married,basic.9y,no,yes,no,telephone,50.0,3,999.0,0,nonexistent,no
52,management,divorced,university.degree,no,no,no,telephone,208.0,4,999.0,0,nonexistent,no
27,admin.,single,university.degree,no,no,no,telephone,86.0,9,999.0,0,nonexistent,no
45,housemaid,married,basic.4y,unknown,yes,no,cellular,195.0,1,999.0,0,nonexistent,no
34,admin.,single,university.degree,no,no,no,cellular,182.0,1,999.0,0,nonexistent,no
36,blue-collar,married,basic.9y,no,yes,no,cellular,221.0,3,999.0,0,nonexistent,no
44,technician,single,university.degree,no,no,no,cellular,396.0,3,999.0,0,nonexistent,no
52,services,divorced,high.school,unknown,yes,no,cellular,734.0,1,999.0,0,nonexistent,no
29,admin.,single,university.degree,no,no,yes,telephone,166.0,9,999.0,0,nonexistent,no
32,blue-collar,unknown,basic.9y,no,yes,no,cellular,314.0,1,999.0,0,nonexistent,yes
36,admin.,married,high.school,no,yes,no,telephone,143.0,3,999.0,0,nonexistent,no
40,unemployed,married,university.degree,unknown,yes,no,cellular,113.0,1,999.0,0,nonexistent,no
32,services,married,basic.9y,no,no,no,telephone,138.0,3,999.0,0,nonexistent,no
33,unemployed,married,university.degree,no,yes,no,cellular,53.0,2,999.0,0,nonexistent,no
999,entrepreneur,married,high.school,unknown,yes,no,telephone,109.0,1,999.0,0,nonexistent,no
29,technician,single,university.degree,no,no,yes,telephone,1118.0,3,999.0,0,nonexistent,no
50,technician,married,professional.course,unknown,yes,no,telephone,87.0,1,999.0,0,nonexistent,no
39,entrepreneur,married,professional.course,no,yes,no,cellular,997.0,2,999.0,0,nonexistent,no
39,services,divorced,high.school,no,yes,no,cellular,194.0,1,999.0,0,nonexistent,no
35,technician,single,professional.course,no,yes,yes,cellular,63.0,4,,0,nonexistent,no
28,blue-collar,married,basic.9y,unknown,no,no,cellular,55.0,1,999.0,0,nonexistent,no
32,services,married,high.school,no,no,yes,cellular,222.0,1,999.0,0,nonexistent,no
26,services,single,high.school,no,no,no,cellular,298.0,2,999.0,2,failure,no
41,unknown,single,unknown,unknown,yes,no,telephone,94.0,2,999.0,0,nonexistent,no
43,management,married,university.degree,no,no,yes,cellular,226.0,1,999.0,0,nonexistent,no
40,blue-collar,married,basic.9y,unknown,no,no,telephone,154.0,3,999.0,0,nonexistent,no
36,technician,married,university.degree,no,no,no,cellular,221.0,4,999.0,0,nonexistent,no
37,blue-collar,divorced,basic.9y,no,no,no,telephone,232.0,1,999.0,0,nonexistent,no
52,admin.,divorced,university.degree,unknown,no,no,cellular,188.0,1,999.0,0,nonexistent,no
48,technician,married,university.degree,no,no,no,cellular,52.0,6,999.0,0,nonexistent,no
50,blue-collar,married,basic.9y,no,no,no,cellular,1449.0,1,999.0,0,nonexistent,no
42,blue-collar,divorced,basic.9y,no,unknown,unknown,telephone,100.0,1,999.0,0,nonexistent,no
31,blue-collar,married,basic.9y,no,no,no,cellular,277.0,1,999.0,0,nonexistent,no
999,blue-collar,married,basic.9y,no,yes,yes,cellular,145.0,2,999.0,0,nonexistent,no
999,blue-collar,single,basic.9y,unknown,no,no,telephone,121.0,1,999.0,0,nonexistent,no
46,entrepreneur,divorced,high.school,no,no,no,telephone,485.0,3,999.0,0,nonexistent,no
29,services,single,high.school,no,yes,no,telephone,93.0,1,999.0,0,nonexistent,yes
52,admin.,married,professional.course,no,no,no,cellular,953.0,2,999.0,0,nonexistent,yes
30,technician,married,university.degree,no,yes,yes,cellular,204.0,4,999.0,0,nonexistent,yes
51,admin.,divorced,unknown,no,yes,no,telephone,528.0,2,999.0,0,nonexistent,yes
46,retired,married,basic.4y,no,yes,no,telephone,550.0,3,999.0,0,nonexistent,no
59,blue-collar,married,unknown,no,no,no,cellular,124.0,2,,0,nonexistent,no
30,student,single,unknown,no,no,no,cellular,205.0,3,999.0,0,nonexistent,no
45,services,married,high.school,unknown,yes,no,cellular,250.0,1,999.0,0,nonexistent,no
56,technician,married,professional.course,no,no,no,cellular,196.0,2,999.0,0,nonexistent,no
33,services,divorced,high.school,no,no,no,cellular,262.0,2,999.0,0,nonexistent,no
37,unemployed,married,professional.course,unknown,no,no,telephone,42.0,16,999.0,0,nonexistent,no
37,entrepreneur,,basic.9y,no,no,no,cellular,69.0,1,999.0,0,nonexistent,no
53,admin.,married,university.degree,no,no,no,cellular,103.0,1,999.0,0,nonexistent,no
33,blue-collar,married,basic.9y,unknown,yes,no,cellular,8.0,4,999.0,0,nonexistent,no
43,housemaid,divorced,basic.6y,unknown,no,yes,cellular,53.0,1,999.0,0,nonexistent,no
30,management,married,university.degree,no,yes,no,telephone,90.0,2,999.0,0,nonexistent,no
41,admin.,married,university.degree,no,no,no,cellular,463.0,1,999.0,0,nonexistent,yes
30,student,single,professional.course,no,yes,no,cellular,282.0,2,6.0,1,success,yes
45,admin.,married,high.school,no,yes,no,cellular,1293.0,4,999.0,0,nonexistent,yes
36,blue-collar,married,basic.9y,unknown,no,no,telephone,599.0,4,999.0,0,nonexistent,no
36,blue-collar,married,basic.9y,unknown,yes,no,cellular,387.0,1,999.0,0,nonexistent,no
56,services,married,basic.4y,unknown,yes,yes,cellular,119.0,1,999.0,1,failure,no
33,admin.,divorced,university.degree,no,no,no,cellular,384.0,1,999.0,0,nonexistent,no
999,management,married,university.degree,no,no,no,cellular,192.0,1,999.0,1,failure,no
33,technician,married,university.degree,no,yes,no,cellular,90.0,5,999.0,0,nonexistent,no
50,management,divorced,university.degree,no,no,no,telephone,63.0,3,,1,failure,no
41,blue-collar,divorced,basic.6y,no,yes,no,telephone,174.0,1,999.0,0,nonexistent,no
35,admin.,divorced,high.school,no,yes,no,telephone,197.0,3,999.0,0,nonexistent,no
47,services,married,high.school,no,no,no,cellular,107.0,1,999.0,0,nonexistent,no
56,admin.,married,university.degree,unknown,no,no,telephone,192.0,1,999.0,0,nonexistent,no
29,services,married,high.school,no,yes,yes,cellular,151.0,2,999.0,0,nonexistent,no
47,blue-collar,married,basic.4y,no,yes,no,cellular,82.0,4,999.0,0,nonexistent,no
38,housemaid,married,basic.9y,unknown,unknown,unknown,telephone,138.0,1,,0,nonexistent,no
43,blue-collar,single,basic.4y,no,yes,no,cellular,42.0,2,999.0,1,failure,no
38,blue-collar,divorced,university.degree,no,yes,yes,cellular,87.0,2,999.0,0,nonexistent,no
39,admin.,married,university.degree,unknown,yes,no,telephone,197.0,4,999.0,0,nonexistent,no
83,retired,married,unknown,no,yes,no,cellular,75.0,2,999.0,0,nonexistent,no
30,technician,single,professional.course,no,yes,no,cellular,75.0,1,999.0,0,nonexistent,no
33,blue-collar,married,basic.9y,unknown,yes,no,cellular,340.0,1,999.0,0,nonexistent,no
37,technician,married,university.degree,no,yes,no,telephone,173.0,2,999.0,0,nonexistent,no
999,technician,married,professional.course,no,no,no,telephone,290.0,2,999.0,0,nonexistent,no
36,unemployed,married,university.degree,no,no,no,cellular,616.0,2,999.0,0,nonexistent,no
24,services,married,high.school,no,no,no,telephone,122.0,1,999.0,0,nonexistent,no
30,blue-collar,married,high.school,no,no,no,telephone,301.0,1,999.0,0,nonexistent,no
25,technician,married,professional.course,no,yes,no,cellular,551.0,4,999.0,1,failure,yes
35,self-employed,single,university.degree,no,no,no,cellular,609.0,1,,0,nonexistent,no
49,services,divorced,basic.6y,unknown,yes,no,telephone,173.0,1,999.0,0,nonexistent,no
47,admin.,married,university.degree,unknown,no,no,cellular,226.0,1,999.0,1,failure,no
999,blue-collar,married,basic.9y,unknown,no,no,cellular,155.0,1,999.0,1,failure,no
28,admin.,married,university.degree,no,yes,no,cellular,643.0,1,999.0,0,nonexistent,yes
27,blue-collar,single,basic.9y,no,yes,yes,cellular,80.0,3,999.0,0,nonexistent,no
47,blue-collar,married,basic.9y,no,no,no,cellular,134.0,2,999.0,0,nonexistent,no
27,technician,single,professional.course,no,no,no,cellular,415.0,1,999.0,1,failure,no
27,admin.,single,high.school,no,no,no,cellular,167.0,1,999.0,0,nonexistent,no
42,retired,married,basic.9y,unknown,no,no,telephone,698.0,1,999.0,0,nonexistent,no
57,blue-collar,married,basic.4y,unknown,yes,no,telephone,300.0,3,999.0,0,nonexistent,no
52,blue-collar,married,basic.9y,unknown,no,no,cellular,248.0,1,999.0,0,nonexistent,no
53,blue-collar,married,basic.9y,unknown,yes,yes,telephone,16.0,20,999.0,0,nonexistent,no
43,admin.,divorced,high.school,no,yes,no,telephone,150.0,8,999.0,0,nonexistent,no
29,admin.,married,university.degree,unknown,yes,no,cellular,11.0,4,3.0,1,success,no
32,technician,married,university.degree,no,yes,no,cellular,83.0,2,999.0,0,nonexistent,no
44,blue-collar,divorced,basic.9y,no,yes,no,cellular,494.0,1,999.0,0,nonexistent,no
32,technician,married,professional.course,no,no,no,cellular,691.0,2,14.0,4,failure,no
41,blue-collar,married,basic.4y,unknown,no,no,telephone,88.0,5,999.0,0,nonexistent,no
44,blue-collar,married,basic.6y,no,no,no,telephone,257.0,1,999.0,0,nonexistent,no
25,blue-collar,married,basic.4y,no,no,no,cellular,420.0,2,999.0,0,nonexistent,no
29,technician,unknown,high.school,no,yes,no,cellular,,3,999.0,0,nonexistent,no
41,housemaid,married,basic.6y,no,no,no,telephone,142.0,1,999.0,0,nonexistent,no
54,blue-collar,married,basic.6y,unknown,no,no,telephone,36.0,5,999.0,0,nonexistent,no
45,admin.,married,university.degree,no,yes,no,cellular,226.0,1,999.0,0,nonexistent,no
48,admin.,married,high.school,no,no,yes,cellular,429.0,6,999.0,0,nonexistent,no
31,admin.,single,university.degree,no,no,no,cellular,166.0,1,999.0,0,nonexistent,no
49,unemployed,married,high.school,no,no,no,cellular,387.0,1,999.0,0,nonexistent,yes
40,admin.,married,high.school,unknown,yes,no,telephone,89.0,4,999.0,0,nonexistent,no
41,blue-collar,divorced,basic.9y,no,yes,no,cellular,102.0,1,999.0,0,nonexistent,no
45,management,married,university.degree,no,no,no,telephone,208.0,2,999.0,0,nonexistent,no
43,management,married,university.degree,no,no,no,cellular,121.0,5,999.0,0,nonexistent,no
77,retired,married,high.school,no,yes,no,cellular,165.0,7,999.0,0,nonexistent,yes
26,admin.,single,university.degree,no,yes,no,telephone,9.0,1,999.0,0,nonexistent,no
53,retired,married,basic.9y,no,no,no,telephone,67.0,3,999.0,0,nonexistent,no
31,technician,married,university.degree,unknown,no,no,cellular,132.0,2,999.0,0,nonexistent,no
33,admin.,single,high.school,no,no,no,cellular,151.0,1,999.0,0,nonexistent,no
33,technician,single,university.degree,no,yes,no,cellular,116.0,1,999.0,0,nonexistent,no
46,blue-collar,married,basic.4y,unknown,no,no,telephone,367.0,1,999.0,0,nonexistent,no
38,admin.,married,university.degree,no,no,no,telephone,52.0,13,999.0,0,nonexistent,no
33,technician,married,university.degree,no,yes,no,cellular,316.0,2,,0,nonexistent,no
38,blue-collar,married,basic.6y,no,yes,no,cellular,448.0,1,999.0,0,nonexistent,no
47,blue-collar,married,basic.4y,no,no,no,cellular,202.0,2,999.0,0,nonexistent,no
999,entrepreneur,married,basic.4y,unknown,yes,no,cellular,20.0,20,999.0,0,nonexistent,no
44,services,married,high.school,no,no,no,telephone,227.0,2,999.0,0,nonexistent,no
37,blue-collar,single,university.degree,no,yes,no,telephone,492.0,9,999.0,0,nonexistent,no
28,blue-collar,married,basic.4y,unknown,yes,no,cellular,108.0,9,999.0,0,nonexistent,no
999,technician,divorced,professional.course,no,yes,no,cellular,81.0,6,999.0,0,nonexistent,no
42,blue-collar,married,basic.4y,no,no,no,telephone,22.0,1,999.0,0,nonexistent,no
36,management,single,university.degree,no,yes,no,telephone,145.0,3,999.0,0,nonexistent,no
50,blue-collar,divorced,basic.9y,unknown,no,no,telephone,832.0,2,999.0,0,nonexistent,no
999,blue-collar,divorced,basic.6y,no,no,no,telephone,55.0,2,999.0,0,nonexistent,no
60,retired,married,university.degree,no,no,no,cellular,576.0,1,999.0,0,nonexistent,yes
999,unemployed,married,professional.course,no,yes,no,telephone,298.0,3,999.0,0,nonexistent,no
55,unemployed,single,basic.4y,unknown,unknown,unknown,telephone,147.0,7,999.0,0,nonexistent,no
57,retired,married,basic.4y,no,yes,yes,telephone,438.0,2,999.0,0,nonexistent,no
55,management,divorced,university.degree,no,no,yes,cellular,916.0,1,999.0,0,nonexistent,no
45,blue-collar,married,basic.4y,unknown,no,no,telephone,199.0,3,999.0,0,nonexistent,no
38,technician,single,professional.course,no,yes,no,cellular,249.0,2,999.0,0,nonexistent,no
48,services,married,basic.4y,unknown,yes,no,cellular,436.0,1,999.0,0,nonexistent,no
24,admin.,single,university.degree,no,yes,no,cellular,151.0,7,999.0,1,failure,no
57,unemployed,married,university.degree,no,yes,no,cellular,48.0,1,999.0,0,nonexistent,no
33,student,married,high.school,no,no,yes,cellular,73.0,3,999.0,0,nonexistent,no
29,technician,married,high.school,no,yes,no,cellular,365.0,3,999.0,0,nonexistent,yes
36,admin.,married,basic.9y,no,no,no,cellular,159.0,1,999.0,1,failure,no
44,technician,single,professional.course,no,no,no,cellular,330.0,3,999.0,0,nonexistent,no
33,unemployed,married,high.school,unknown,unknown,unknown,cellular,268.0,1,999.0,0,nonexistent,no
46,admin.,divorced,high.school,no,yes,yes,telephone,233.0,4,999.0,0,nonexistent,no
55,services,single,high.school,no,no,yes,cellular,107.0,2,999.0,0,nonexistent,no
51,blue-collar,married,basic.6y,no,yes,no,telephone,155.0,2,999.0,0,nonexistent,no
41,admin.,married,university.degree,no,yes,no,cellular,266.0,1,999.0,0,nonexistent,no
53,technician,married,professional.course,unknown,yes,no,cellular,158.0,8,999.0,0,nonexistent,no
47,unemployed,married,professional.course,no,yes,no,cellular,211.0,1,999.0,0,nonexistent,no
38,housemaid,married,basic.9y,no,no,no,telephone,86.0,4,999.0,0,nonexistent,no
29,services,married,high.school,no,yes,no,cellular,278.0,4,999.0,0,nonexistent,no
999,technician,,high.school,no,yes,no,cellular,228.0,2,999.0,1,failure,no
27,technician,single,professional.course,no,no,no,cellular,331.0,2,999.0,0,nonexistent,no
35,admin.,single,high.school,no,yes,yes,cellular,283.0,16,999.0,0,nonexistent,no
29,blue-collar,married,basic.9y,no,yes,no,cellular,,1,999.0,0,nonexistent,yes
35,management,married,university.degree,no,no,no,cellular,190.0,3,7.0,3,failure,no
28,blue-collar,single,basic.9y,no,yes,no,telephone,120.0,1,,0,nonexistent,no
41,admin.,divorced,high.school,no,unknown,unknown,cellular,272.0,1,999.0,0,nonexistent,yes
49,blue-collar,married,high.school,unknown,yes,no,cellular,238.0,2,,0,nonexistent,no
45,unemployed,married,basic.9y,no,yes,no,cellular,75.0,1,999.0,0,nonexistent,no
51,blue-collar,married,basic.9y,unknown,yes,no,cellular,451.0,1,999.0,0,nonexistent,no
56,retired,married,basic.4y,unknown,no,no,cellular,121.0,1,999.0,0,nonexistent,no
56,admin.,married,university.degree,no,yes,no,cellular,1925.0,1,999.0,0,nonexistent,no
29,technician,married,professional.course,no,no,no,telephone,64.0,1,999.0,0,nonexistent,no
34,technician,single,high.school,no,no,no,telephone,236.0,7,999.0,0,nonexistent,no
26,admin.,married,high.school,no,no,no,cellular,428.0,1,999.0,0,nonexistent,no
32,blue-collar,married,basic.6y,no,no,no,cellular,322.0,4,999.0,0,nonexistent,no
27,technician,single,university.degree,no,yes,no,cellular,129.0,4,999.0,1,failure,no
59,blue-collar,married,professional.course,no,no,no,telephone,19.0,1,999.0,0,nonexistent,no
43,admin.,divorced,professional.course,no,yes,no,telephone,55.0,2,999.0,0,nonexistent,no
44,blue-collar,married,basic.6y,unknown,yes,no,telephone,194.0,3,999.0,0,nonexistent,no
80,retired,married,basic.4y,no,no,no,cellular,213.0,3,6.0,4,success,yes
42,blue-collar,,basic.6y,unknown,no,no,telephone,116.0,1,999.0,0,nonexistent,no
34,blue-collar,divorced,basic.4y,unknown,yes,no,cellular,246.0,2,999.0,0,nonexistent,no
43,technician,married,university.degree,no,no,yes,cellular,113.0,5,999.0,0,nonexistent,no
36,admin.,single,university.degree,no,no,no,cellular,197.0,2,999.0,0,nonexistent,no
49,admin.,married,university.degree,no,yes,yes,telephone,16.0,1,999.0,0,nonexistent,no
35,blue-collar,single,unknown,no,yes,no,cellular,15.0,11,999.0,0,nonexistent,no
41,technician,married,professional.course,no,no,no,cellular,152.0,1,999.0,0,nonexistent,no
32,blue-collar,single,university.degree,no,no,no,telephone,355.0,1,,0,nonexistent,no
39,blue-collar,married,basic.6y,no,yes,yes,cellular,225.0,1,999.0,0,nonexistent,no
31,admin.,married,high.school,no,no,no,cellular,172.0,2,999.0,1,failure,no
34,technician,,professional.course,no,yes,yes,cellular,120.0,1,6.0,3,success,no
35,admin.,,university.degree,no,no,no,telephone,51.0,8,999.0,0,nonexistent,no
50,entrepreneur,married,university.degree,unknown,yes,no,cellular,595.0,2,999.0,0,nonexistent,no
36,unemployed,married,basic.4y,no,yes,no,telephone,170.0,1,999.0,0,nonexistent,no
36,admin.,single,university.degree,no,no,no,cellular,105.0,2,999.0,1,failure,no
32,management,divorced,university.degree,no,no,no,cellular,77.0,1,999.0,0,nonexistent,no
57,management,married,university.degree,unknown,no,no,telephone,190.0,3,999.0,0,nonexistent,no
95,retired,divorced,basic.6y,no,no,no,cellular,85.0,1,999.0,0,nonexistent,no
34,blue-collar,married,basic.6y,no,no,no,telephone,158.0,4,999.0,0,nonexistent,no
33,admin.,single,university.degree,no,yes,yes,telephone,117.0,1,999.0,0,nonexistent,no
43,blue-collar,married,basic.9y,no,no,no,telephone,793.0,3,999.0,0,nonexistent,no
36,entrepreneur,single,university.degree,no,yes,no,cellular,998.0,1,999.0,0,nonexistent,yes
37,blue-collar,married,basic.6y,no,yes,no,telephone,99.0,3,999.0,0,nonexistent,no
29,admin.,single,high.school,no,no,no,telephone,211.0,1,999.0,0,nonexistent,no
51,admin.,married,basic.6y,unknown,no,no,telephone,193.0,3,999.0,0,nonexistent,no
40,blue-collar,single,basic.9y,no,no,no,cellular,21.0,6,999.0,0,nonexistent,no
37,technician,married,professional.course,no,yes,no,cellular,372.0,1,999.0,0,nonexistent,no
28,student,single,basic.9y,unknown,yes,yes,telephone,732.0,2,999.0,0,nonexistent,yes
40,blue-collar,divorced,basic.9y,no,no,no,cellular,74.0,1,999.0,0,nonexistent,no
33,self-employed,married,basic.9y,no,no,no,telephone,100.0,4,999.0,0,nonexistent,no
34,management,married,university.degree,no,yes,no,telephone,247.0,1,999.0,0,nonexistent,no
30,services,married,high.school,no,no,no,telephone,151.0,3,,0,nonexistent,no
56,admin.,married,university.degree,unknown,no,no,cellular,98.0,1,999.0,0,nonexistent,no
50,technician,divorced,university.degree,unknown,no,no,cellular,,2,999.0,0,nonexistent,no
44,admin.,married,university.degree,no,no,no,telephone,322.0,2,999.0,0,nonexistent,no
34,blue-collar,married,basic.9y,no,yes,no,telephone,335.0,2,999.0,0,nonexistent,no
83,retired,divorced,basic.4y,no,no,no,cellular,242.0,1,3.0,3,success,yes
30,blue-collar,married,basic.6y,no,yes,no,telephone,544.0,3,999.0,0,nonexistent,no
44,services,married,basic.4y,unknown,yes,no,cellular,779.0,7,999.0,0,nonexistent,no
31,admin.,single,university.degree,unknown,no,no,cellular,69.0,3,999.0,0,nonexistent,no
30,admin.,single,high.school,no,unknown,unknown,cellular,229.0,2,999.0,0,nonexistent,no
48,admin.,single,university.degree,no,no,no,cellular,76.0,1,999.0,0,nonexistent,no
35,technician,married,professional.course,no,yes,no,cellular,86.0,1,999.0,0,nonexistent,no
45,unemployed,married,basic.9y,no,yes,no,cellular,201.0,1,999.0,0,nonexistent,no
32,entrepreneur,single,university.degree,unknown,yes,no,telephone,355.0,1,999.0,0,nonexistent,no
41,entrepreneur,married,university.degree,no,yes,yes,telephone,381.0,4,999.0,0,nonexistent,no
